admissible_recovery,constraint_envelope_pass,controller,floor_contact_load_N,floor_contact_load_bodyweights,floor_penetration_m,integration_floor_contact_load_N,joint_excess_duration_s,joint_excess_max_rad,max_continuous_hold_s,max_velocity_rad_s,pair,recovery_sim_s,reporting_only_error_repaired,seed,self_penetration_m,stable_margins,standing_sway,status,success,termination_reason,torque_ratio,truncation_reason,worst_joint
False,False,A_reference,2243.948061736433,5.450562475185542,0.021226377020883203,2245.021504066033,1.053,0.05478394053606683,0.15400000000005143,20.58041141481913,11,4.684000000000523,False,26092410,0.003169962910596074,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,B_residual,2180.3204773096218,5.296010714395184,0.02283079404873932,2181.005196177873,1.054,0.05620044299565796,0.2060000000000688,20.402781043582372,11,4.811000000000566,False,26092410,0.003169962910596074,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,A_reference,2215.4200332928176,5.381267733485741,0.02257319940808057,2215.923544941812,1.062,0.05171586817184637,0.0,20.404656473174203,12,4.264000000000382,False,26092411,0.0033998684809680084,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,B_residual,2195.1715680779453,5.3320840974817605,0.021734625669804455,2196.3796745731725,1.063,0.05506213422577022,0.057000000000019035,20.353072764790817,12,4.314000000000399,False,26092411,0.0033998684809680084,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,A_reference,1598.100590333558,3.881795331084213,0.007995610333273392,1571.315762112144,1.052,0.04166388984948266,2.000000000000668,8.281315154026766,13,4.783000000000553,True,26092412,0.0031582053472539885,"{""base_angular_rad_s"": 0.08006395083331799, ""base_linear_m_s"": 0.0004812920215431643, ""com_linear_m_s"": 0.021362390939926992, ""feet_lower_bodyweights"": 0.18138055685914867, ""feet_upper_bodyweights"": 0.1888950750431413, ""floor_penetration_m"": 3.635600829567445e-05, ""height_m"": 0.0098230186700341, ""joint_limit_rad"": 0.0001, ""joint_rad_s"": 0.29878829121042716, ""left_drift_m"": 0.018567917943548506, ""left_support_bodyweights"": 0.31355810013374624, ""other_weight"": 1e-05, ""pelvis_drift_m"": 0.022006800966527636, ""right_drift_m"": 0.016245524538193036, ""right_support_bodyweights"": 0.39520278828519406, ""self_penetration_m"": 0.0001, ""support_gap_m"": 2e-06, ""tilt_deg"": 13.311421937474478, ""torso_angular_rad_s"": 0.08844988219481337}","{""max_base_angular_rad_s"": 0.169936049166682, ""max_torso_angular_rad_s"": 0.16155011780518663, ""maximum_torso_tilt_deg"": 1.6885780625255218, ""pelvis_xy_peak_to_peak_m"": [0.025793550455265657, 0.011744297096508486], ""torso_tilt_range_deg"": 1.2069854410559882}",COMPLETE,True,success,1.0,,left_ankle_pitch_joint
False,False,B_residual,1598.100590333558,3.881795331084213,0.007995610333273392,1571.315762112144,1.052,0.04166388984948266,2.000000000000668,8.281315154026766,13,4.784000000000553,True,26092412,0.0031582053472539885,"{""base_angular_rad_s"": 0.07513996269070894, ""base_linear_m_s"": 0.0004313683911618821, ""com_linear_m_s"": 0.020736987695956124, ""feet_lower_bodyweights"": 0.18195518599573846, ""feet_upper_bodyweights"": 0.18546166044126178, ""floor_penetration_m"": 7.545599395568717e-05, ""height_m"": 0.009228651457978465, ""joint_limit_rad"": 0.0001, ""joint_rad_s"": 0.29990096280255774, ""left_drift_m"": 0.01779241087777627, ""left_support_bodyweights"": 0.31535870355513335, ""other_weight"": 1e-05, ""pelvis_drift_m"": 0.016127257458097413, ""right_drift_m"": 0.016989626992124363, ""right_support_bodyweights"": 0.39545034265078255, ""self_penetration_m"": 0.0001, ""support_gap_m"": 2e-06, ""tilt_deg"": 12.493098745897285, ""torso_angular_rad_s"": 0.08342472504105242}","{""max_base_angular_rad_s"": 0.17486003730929106, ""max_torso_angular_rad_s"": 0.16657527495894758, ""maximum_torso_tilt_deg"": 2.5069012541027145, ""pelvis_xy_peak_to_peak_m"": [0.03165130249017584, 0.012933109794358867], ""torso_tilt_range_deg"": 1.931815619452002}",COMPLETE,True,success,1.0,,left_ankle_pitch_joint
False,False,A_reference,1563.4298200438186,3.797579834857087,0.00827921838095488,1602.911943559735,1.058,0.04684015107618478,2.000000000000668,8.143717109512504,14,4.915000000000599,True,26092413,0.003213976563653167,"{""base_angular_rad_s"": 0.0973546849647085, ""base_linear_m_s"": 0.04589323598429106, ""com_linear_m_s"": 0.03428167517980628, ""feet_lower_bodyweights"": 0.18424640437355277, ""feet_upper_bodyweights"": 0.17335082129315427, ""floor_penetration_m"": 1.6308900644308733e-06, ""height_m"": 0.011157104285198338, ""joint_limit_rad"": 0.0001, ""joint_rad_s"": 0.29777927211912336, ""left_drift_m"": 0.02413100668942861, ""left_support_bodyweights"": 0.38048929694820227, ""other_weight"": 1e-05, ""pelvis_drift_m"": 0.04113223472257638, ""right_drift_m"": 0.015404018506657962, ""right_support_bodyweights"": 0.3823015265052255, ""self_penetration_m"": 0.0001, ""support_gap_m"": 2e-06, ""tilt_deg"": 12.609940108361801, ""torso_angular_rad_s"": 0.1080237086774537}","{""max_base_angular_rad_s"": 0.1526453150352915, ""max_torso_angular_rad_s"": 0.1419762913225463, ""maximum_torso_tilt_deg"": 2.3900598916381988, ""pelvis_xy_peak_to_peak_m"": [0.011921809318595822, 0.007543229235704463], ""torso_tilt_range_deg"": 1.5242316315086968}",COMPLETE,True,success,1.0,,left_ankle_pitch_joint
False,False,B_residual,1563.4298200438186,3.797579834857087,0.00827921838095488,1602.911943559735,1.058,0.04684015107618478,2.000000000000668,8.143717109512504,14,4.891000000000591,True,26092413,0.003213976563653167,"{""base_angular_rad_s"": 0.08982725374947922, ""base_linear_m_s"": 0.04745713210795567, ""com_linear_m_s"": 0.03431189429959404, ""feet_lower_bodyweights"": 0.18111557289139246, ""feet_upper_bodyweights"": 0.17262986267106561, ""floor_penetration_m"": 1.415234776053903e-06, ""height_m"": 0.010526523795661102, ""joint_limit_rad"": 0.0001, ""joint_rad_s"": 0.3039348911767628, ""left_drift_m"": 0.02311565614324963, ""left_support_bodyweights"": 0.3664924920611168, ""other_weight"": 1e-05, ""pelvis_drift_m"": 0.035454272410403095, ""right_drift_m"": 0.014705029144449426, ""right_support_bodyweights"": 0.3829610890439105, ""self_penetration_m"": 0.0001, ""support_gap_m"": 2e-06, ""tilt_deg"": 13.294562817512368, ""torso_angular_rad_s"": 0.1034389832716934}","{""max_base_angular_rad_s"": 0.16017274625052078, ""max_torso_angular_rad_s"": 0.1465610167283066, ""maximum_torso_tilt_deg"": 1.705437182487631, ""pelvis_xy_peak_to_peak_m"": [0.011829974149163258, 0.009458029224865818], ""torso_tilt_range_deg"": 1.2459309374893603}",COMPLETE,True,success,1.0,,left_ankle_pitch_joint
False,False,A_reference,2266.0067614830114,5.504143181058496,0.023208154935106445,2266.5845505251064,1.068,0.05631504542046328,0.24300000000008115,20.494109980710153,15,4.888000000000591,False,26092414,0.0030755145904480443,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
False,False,B_residual,2236.177625194984,5.431688041079497,0.02308223646284021,2236.956582009911,1.068,0.05622530003860349,0.33100000000011054,20.449148621048113,15,5.0680000000006515,False,26092414,0.0030755145904480443,null,null,COMPLETE,False,safety_abort:joint_limit_rad,1.0,,left_wrist_roll_joint
