event_labels,post_elapsed_s,pre_elapsed_s,joint,reference_phase,q_lower_rad,q_upper_rad,pre_q_rad,post_q_rad,pre_dq_rad_s,post_dq_rad_s,excess_rad,reference_at_control_endpoint_rad,requested_target_rad,adopted_native_target_rad,raw_pd_Nm,clipped_control_Nm,integration_joint_torque_Nm,integration_actuator_force_Nm,left_foot_weight,right_foot_weight,other_contact_norm_weight,integration_ground_vertical_N,postforward_ground_vertical_N,pelvis_height_m,torso_tilt_deg,com_speed_m_s,torso_angular_rad_s,floor_penetration_m,residual_gate
long_airborne_last_sample:None:offset=-0.02,2.125999999999766,2.1249999999997664,left_ankle_roll_joint,fixed-start-quintic-10,-0.262,0.262,-0.1332532913756122,-0.13315235456782235,0.10152860311533866,0.10093680778987005,0.0,-0.13107967405314844,-0.13107967405314838,-0.13107967495918274,-0.49658009502721867,-0.49658009502721867,-0.49658009502721867,-0.49658009502721867,0.0,0.0,0.0,0.0,0.0,0.6143882507489503,21.020442147704262,0.7537774989477752,1.8347940176741706,0.0,0.0
long_airborne_last_sample:None:offset=-0.02,2.125999999999766,2.1249999999997664,right_ankle_pitch_joint,fixed-start-quintic-10,-0.803,0.453,-0.5404188062265808,-0.5392105897862731,1.1990408655612452,1.2082164403076947,0.0,-0.4932336201429138,-0.49323362014291083,-0.49323360311985015,0.5899621006888864,0.5899621006888864,0.5899621006888864,0.5899621006888864,0.0,0.0,0.0,0.0,0.0,0.6143882507489503,21.020442147704262,0.7537774989477752,1.8347940176741706,0.0,0.0
long_airborne_last_sample:None:offset=-0.02,2.125999999999766,2.1249999999997664,right_ankle_roll_joint,fixed-start-quintic-10,-0.2625,0.2625,0.039313861896905354,0.03880334606311195,-0.5141610628629005,-0.5105158337934035,0.0,0.022347533224421783,0.02234753322442072,0.02234753407537937,0.7271700403012407,0.7271700403012407,0.7271700403012407,0.7271700403012407,0.0,0.0,0.0,0.0,0.0,0.6143882507489503,21.020442147704262,0.7537774989477752,1.8347940176741706,0.0,0.0
long_airborne_last_sample:None:offset=-0.02,2.125999999999766,2.1249999999997664,waist_pitch_joint,fixed-start-quintic-10,-0.314,0.314,0.12041948894664595,0.11983837255391804,-0.5864522268308217,-0.5811163927279157,0.0,0.13543303676206425,0.13543303676206483,0.1354330331683159,11.13901280944539,11.13901280944539,11.13901280944539,11.13901280944539,0.0,0.0,0.0,0.0,0.0,0.6143882507489503,21.020442147704262,0.7537774989477752,1.8347940176741706,0.0,0.0
landing:None:offset=-0.02,2.126999999999766,2.125999999999766,left_ankle_pitch_joint,fixed-start-quintic-10,-0.803,0.453,-0.6347762796221458,-0.6345182870056272,0.2618774724874847,0.25799261651863553,0.0,-0.6266539723644131,-0.6266539723644127,-0.626653952240944,-0.5261071718137709,-0.5261071718137709,-0.5261071718137709,-0.5261071718137709,0.0,0.0,0.0,0.0,0.0,0.6138164874392223,20.991502503586258,0.7603262076441891,1.842529420773216,0.0,0.0
landing:None:offset=-0.02,2.126999999999766,2.125999999999766,left_ankle_roll_joint,fixed-start-quintic-10,-0.262,0.262,-0.13315235456782235,-0.13305253414275028,0.10093680778987005,0.09982042507204908,0.0,-0.13107967405314844,-0.13107967405314838,-0.13107967495918274,-0.5201657375607625,-0.5201657375607625,-0.5201657375607625,-0.5201657375607625,0.0,0.0,0.0,0.0,0.0,0.6138164874392223,20.991502503586258,0.7603262076441891,1.842529420773216,0.0,0.0
landing:None:offset=-0.02,2.126999999999766,2.125999999999766,right_ankle_pitch_joint,fixed-start-quintic-10,-0.803,0.453,-0.5392105897862731,-0.5380056406306246,1.2082164403076947,1.2049491556484964,0.0,-0.4932336201429138,-0.49323362014291083,-0.49323360311985015,0.12368739060461031,0.12368739060461031,0.12368739060461031,0.12368739060461031,0.0,0.0,0.0,0.0,0.0,0.6138164874392223,20.991502503586258,0.7603262076441891,1.842529420773216,0.0,0.0
landing:None:offset=-0.02,2.126999999999766,2.125999999999766,right_ankle_roll_joint,fixed-start-quintic-10,-0.2625,0.2625,0.03880334606311195,0.03830093867875419,-0.5105158337934035,-0.5024073843577593,0.0,0.022347533224421783,0.02234753322442072,0.02234753407537937,0.8390837313349477,0.8390837313349477,0.8390837313349477,0.8390837313349477,0.0,0.0,0.0,0.0,0.0,0.6138164874392223,20.991502503586258,0.7603262076441891,1.842529420773216,0.0,0.0
landing:None:offset=-0.02,2.126999999999766,2.125999999999766,waist_pitch_joint,fixed-start-quintic-10,-0.314,0.314,0.11983837255391804,0.11926307516521283,-0.5811163927279157,-0.5752973887052145,0.0,0.13543303676206425,0.13543303676206483,0.1354330331683159,11.252979655624545,11.252979655624545,11.252979655624545,11.252979655624545,0.0,0.0,0.0,0.0,0.0,0.6138164874392223,20.991502503586258,0.7603262076441891,1.842529420773216,0.0,0.0
long_airborne_last_sample:None:offset=0,2.1459999999997637,2.144999999999764,left_ankle_pitch_joint,fixed-start-quintic-11,-0.803,0.453,-0.6305048841181878,-0.6302189057489423,0.2874183633719729,0.2859783692454563,0.0,-0.6213366031169595,-0.6213366031169589,-0.6213366118073463,-0.5012858871933314,-0.5012858871933314,-0.5012858871933314,-0.5012858871933314,0.0,0.0,0.0,0.0,0.0,0.6012658488691281,20.365574944602248,0.8961368363522094,2.0010712366616294,0.0,0.0
long_airborne_last_sample:None:offset=0,2.1459999999997637,2.144999999999764,left_ankle_roll_joint,fixed-start-quintic-11,-0.262,0.262,-0.1315139021472151,-0.1314272469333944,0.0877788630290696,0.08665521382071262,0.0,-0.13018878081465646,-0.13018878081465637,-0.1301887817978859,-0.5955683638844471,-0.5955683638844471,-0.5955683638844471,-0.5955683638844471,0.0,0.0,0.0,0.0,0.0,0.6012658488691281,20.365574944602248,0.8961368363522094,2.0010712366616294,0.0,0.0
long_airborne_last_sample:None:offset=0,2.1459999999997637,2.144999999999764,right_ankle_pitch_joint,fixed-start-quintic-11,-0.803,0.453,-0.5181198009977427,-0.5167109383085108,1.3995411639711355,1.4088626892318528,0.0,-0.4632489541421656,-0.46324895414216233,-0.46324895197153093,0.627253946364263,0.627253946364263,0.627253946364263,0.627253946364263,0.0,0.0,0.0,0.0,0.0,0.6012658488691281,20.365574944602248,0.8961368363522094,2.0010712366616294,0.0,0.0
long_airborne_last_sample:None:offset=0,2.1459999999997637,2.144999999999764,right_ankle_roll_joint,fixed-start-quintic-11,-0.2625,0.2625,0.030290444153683236,0.029730836032148267,-0.564268498516971,-0.5596081215349679,0.0,0.011589294045217715,0.011589294045216521,0.011589294439181686,0.773624393030361,0.773624393030361,0.773624393030361,0.773624393030361,0.0,0.0,0.0,0.0,0.0,0.6012658488691281,20.365574944602248,0.8961368363522094,2.0010712366616294,0.0,0.0
long_airborne_last_sample:None:offset=0,2.1459999999997637,2.144999999999764,waist_pitch_joint,fixed-start-quintic-11,-0.314,0.314,0.11139168587547904,0.11110183875759551,-0.29505720436564686,-0.2898471178835264,0.0,0.14126747189077668,0.14126747189077732,0.14126746809482574,12.300925866522311,12.300925866522311,12.300925866522311,12.300925866522311,0.0,0.0,0.0,0.0,0.0,0.6012658488691281,20.365574944602248,0.8961368363522094,2.0010712366616294,0.0,0.0
landing:None:offset=0,2.146999999999764,2.1459999999997637,left_ankle_pitch_joint,fixed-start-quintic-11,-0.803,0.453,-0.6302189057489423,-0.6299375971550953,0.2859783692454563,0.2813085938470052,0.0,-0.6213366031169595,-0.6213366031169589,-0.6213366118073463,-0.5707877241793184,-0.5707877241793184,-0.5707877241793184,-0.5707877241793184,0.7238604277325078,0.0,0.0,0.0,298.0068958337687,0.6005239500115228,20.329555953729777,0.9037860872071843,2.008776727142309,4.963229483014985e-05,0.0
landing:None:offset=0,2.146999999999764,2.1459999999997637,left_ankle_roll_joint,fixed-start-quintic-11,-0.262,0.262,-0.1314272469333944,-0.13134227723316166,0.08665521382071262,0.08496970023271364,0.0,-0.13018878081465646,-0.13018878081465637,-0.1301887817978859,-0.6088522884321919,-0.6088522884321919,-0.6088522884321919,-0.6088522884321919,0.7238604277325078,0.0,0.0,0.0,298.0068958337687,0.6005239500115228,20.329555953729777,0.9037860872071843,2.008776727142309,4.963229483014985e-05,0.0
landing:None:offset=0,2.146999999999764,2.1459999999997637,right_ankle_pitch_joint,fixed-start-quintic-11,-0.803,0.453,-0.5167109383085108,-0.515306771252157,1.4088626892318528,1.4041670563538033,0.0,-0.4632489541421656,-0.46324895414216233,-0.46324895197153093,0.09913412002901723,0.09913412002901723,0.09913412002901723,0.09913412002901723,0.7238604277325078,0.0,0.0,0.0,298.0068958337687,0.6005239500115228,20.329555953729777,0.9037860872071843,2.008776727142309,4.963229483014985e-05,0.0
landing:None:offset=0,2.146999999999764,2.1459999999997637,right_ankle_roll_joint,fixed-start-quintic-11,-0.2625,0.2625,0.029730836032148267,0.029180872560556584,-0.5596081215349679,-0.5499634715916841,0.0,0.011589294045217715,0.011589294045216521,0.011589294439181686,0.8887806828210882,0.8887806828210882,0.8887806828210882,0.8887806828210882,0.7238604277325078,0.0,0.0,0.0,298.0068958337687,0.6005239500115228,20.329555953729777,0.9037860872071843,2.008776727142309,4.963229483014985e-05,0.0
